website,instruction,steps,criteria,feasibility_classification,feasibility_confidence,feasibility_reasoning,http_status_code,http_reachable,http_error
polisci.osu.edu,"Find a faculty member who specializes in 'American Politics' and teaches undergraduate courses, and identify one of their published works.","[""Navigate to 'polisci.osu.edu'""
 ""Click on the 'People' link in the main navigation.""
 ""On the 'People' page, use the 'Specializations' filter to select 'American Politics'.""
 'Browse the filtered faculty profiles to identify a faculty member who teaches undergraduate courses (this information is typically found within their profile description).'
 ""Click on the identified faculty member's profile.""
 'Locate and identify one of their published works mentioned in their profile.']","[""Successfully navigates to the 'People' page.""
 ""Applies the 'American Politics' specialization filter.""
 'Identifies a faculty member whose profile explicitly states they teach undergraduate courses (e.g., Alex Acs).'
 ""Cites at least one published work from the selected faculty member (e.g., 'American Journal of Political Science' or 'Journal of Politics' for Alex Acs).""]",FEASIBLE,0.9,"The website is operational, and the main navigation clearly shows a 'People' link, which is the first step in the task. There are also indications of faculty listings and potential filtering options.",200.0,True,
sailboatdata.com,Find the Length Overall (LOA) and Displacement for the 'Catalina 34' sailboat model.,"['Navigate to Google.com'
 ""Search for 'Catalina 34 sailboat specifications'""
 'Identify and click on a reliable search result that leads to the specifications (e.g., SailboatData.com or a similar reputable marine database)'
 'Locate the Length Overall (LOA) and Displacement values for the Catalina 34'
 'State the LOA and Displacement in the answer']","['Successfully navigates to a webpage containing the Catalina 34 specifications.'
 'Correctly identifies the Length Overall (LOA) for the Catalina 34.'
 'Correctly identifies the Displacement for the Catalina 34.'
 'Provides both the LOA and Displacement values in the final answer.']",UNCERTAIN,1.0,"The browsing tool was unable to access the content of https://sailboatdata.com, preventing me from verifying if the required information for 'Catalina 34' is present or if the task is completable.",200.0,True,
papajohns.com,Find a Papa John's store near zip code 90210 for delivery.,"['Navigate to papajohns.com'
 ""Ensure 'Delivery' is selected as the order type.""
 ""Enter '90210' into the 'Zip Code' field.""
 ""Enter a sample street address like '123 Main St' into the 'Street Address' field.""
 ""Select 'Residence' as the Address Type.""
 ""Click the 'SUBMIT' button to find stores.""]","['Successfully submits the address form.'
 ""The webpage displays a list of Papa John's stores or moves to a store selection page after submission.""
 'The agent does not get stuck in a loop of resubmitting the same form without progression.']",WEBSITE_DOWN,0.9,HTTP probe returned 403 Forbidden — site is blocking automated access.,403.0,True,
lga.sa.gov.au,Find the contact email address for the City of Charles Sturt council on the LGA SA website.,"['Navigate to lga.sa.gov.au'
 ""Locate the 'Councils' or 'Member Councils' section of the website""
 ""Find the listing for the 'City of Charles Sturt'""
 'Extract the contact email address for the City of Charles Sturt council']","['Successfully navigates to lga.sa.gov.au'
 'Identifies and clicks on the correct link to view member councils or a council directory'
 'Locates the specific page or section for the City of Charles Sturt'
 'Provides the correct contact email address for the City of Charles Sturt council']",FEASIBLE,0.9,"The website is operational and the homepage clearly presents a 'SA Councils' section with an option to 'Use our A-Z list or map to contact your local council', which directly supports finding the City of Charles Sturt council's contact information.",200.0,True,
landkreis-peine.de,Find the contact information (phone number or email) for the 'Bürgerbüro' (Citizen's Office) on the Stadt Peine website.,"[""Navigate to 'peine.de'""
 ""Locate and click on the main navigation menu or a prominent link to 'Contact' or 'Services'.""
 ""Browse the available departments or services to find 'Bürgerbüro' or 'Citizen's Office'.""
 'Extract the phone number or email address listed for the Bürgerbüro.']","['Successfully navigates to the contact page or relevant department page for the Bürgerbüro.'
 'Identifies and provides a valid phone number or email address for the Bürgerbüro.'
 'The provided contact information is specific to the Bürgerbüro and not a general city contact.']",CONTENT_LIKELY_OUTDATED,0.9,"The provided website 'https://landkreis-peine.de' is for the 'Landkreis Peine' (Peine District), not the 'Stadt Peine' (City of Peine). Therefore, the contact information for the 'Bürgerbüro' of the 'Stadt Peine' cannot be found on this website, indicating the task's premise about the website is outdated.",200.0,True,
ccmr.cornell.edu,Identify the NSF grant number that supported the acquisition of the Thermo Fisher F200Ci TEM instrument mentioned on the CCMR website.,"['Navigate to ccmr.cornell.edu.'
 ""Locate and click on the 'Acknowledging CCMR Funding' link.""
 'Find the section detailing the Thermo Fisher F200Ci TEM work.'
 'Extract the NSF grant number associated with this instrument.']","[""Successfully navigates to the 'Acknowledging CCMR Funding' page.""
 ""Identifies the correct grant number 'S10OD030470' for the Thermo Fisher F200Ci TEM.""
 'The answer explicitly states the grant number.']",UNCERTAIN,1.0,"The initial website loaded successfully, but the browse tool was unable to navigate to the 'Acknowledging CCMR Funding' page, preventing further progress on the task.",200.0,True,
bowhunting.com,"What is the definition of 'brace height' in bowhunting, according to Bowhunting.com?","[""Navigate to 'bowhunting.com'""
 ""Utilize the site's search functionality or navigation to find a glossary or definitions section.""
 ""Search for or locate the definition of 'brace height'.""
 ""Extract and provide the definition of 'brace height' from the website.""]","[""Provides a clear definition of 'brace height' as it relates to bowhunting.""
 'The definition is sourced from Bowhunting.com.']",WEBSITE_DOWN,0.9,HTTP probe returned 403 Forbidden — site is blocking automated access.,403.0,True,
prideinstem.org,What is the purpose of the 'Queer Data Showcase' event and where will it be held?,"[""Navigate to 'prideinstem.org'"" ""Click on the 'Events' link""
 ""Locate the 'Queer Data Showcase' under 'Upcoming Events'""
 ""Click on the 'Call For Presenters' link (id: 131) associated with the 'Queer Data Showcase' to find more details""
 'Extract the purpose of the event and its location from the details page']","['Identifies that the event is a showcase for data related to queer experiences or research'
 ""States that the event will be held at the 'Cabaret Bar, Pleasance Edinburgh'""]",WEBSITE_DOWN,0.95,Website could not be reached: connection_error,,False,connection_error
officialchiefsfootballshops.com,Find the price of a Patrick Mahomes jersey for men on the official Kansas City Chiefs online shop.,"[""Navigate to 'officialchiefsfootballshops.com'""
 ""Locate the 'Jerseys' or 'Men's' section of the website""
 ""Search or browse for a 'Patrick Mahomes' jersey""
 ""Identify the price of a men's Patrick Mahomes jersey and respond with that price""]","[""Successfully navigates to the *official* Kansas City Chiefs online shop (e.g., 'officialchiefsfootballshops.com' or a similar official domain)""
 ""Identifies a specific price for a Patrick Mahomes jersey (men's fit)""
 'The price provided is accurate as displayed on the website']",WEBSITE_DOWN,0.95,Website could not be reached: timeout,,False,timeout
bnn-news.com,"What is the latest news regarding airBaltic, and what is the current status of the competition for its leadership?","[""Navigate to 'bnn-news.com'""
 ""Click on the 'Money' section to find business-related news.""
 ""Locate and click on the article titled 'Competition for “airBaltic” leadership – applications from 30 countries!'""
 'Read the article to determine the latest news and status of the leadership competition, and summarize it in the answer.']","['Identifies the article about airBaltic leadership competition.'
 'States that applications have been received from 30 countries for the airBaltic leadership position.']",WEBSITE_DOWN,1.0,"The website 'https://bnn-news.com' could not be accessed by the browsing tool, preventing any further evaluation of the task's feasibility.",200.0,True,
synovus.com,Find the interest rates for savings accounts on the Synovus website.,"[""Navigate to 'synovus.com'"" ""Click on the 'Personal' dropdown menu""
 ""Look for a link related to 'Savings' or 'Deposit Accounts'""
 'Click on the relevant link to view savings account options and their associated interest rates'
 'Identify and report the interest rates for at least one type of savings account']","['Successfully navigates to a page displaying savings account interest rates.'
 'Identifies and states the interest rate for at least one savings account product.'
 'Avoids navigating to corporate or investor relations pages.']",WEBSITE_DOWN,0.9,HTTP probe returned 403 Forbidden — site is blocking automated access.,403.0,True,
life-science-alliance.org,What is the focus of the 'LSA Immunology Collection 2025' on Life Science Alliance?,"[""Navigate to 'life-science-alliance.org'""
 ""Locate and click on the 'Collections' link in the main navigation.""
 ""Find the 'LSA Immunology Collection 2025' on the collections page.""
 'Identify the stated focus or description of this collection, and respond with that information.']","[""Identifies the 'LSA Immunology Collection 2025' specifically.""
 ""States that the collection focuses on 'Original findings on T cell receptor signaling, T cell development, and immune responses' (or similar phrasing found on the collection page).""]",WEBSITE_DOWN,0.95,Website could not be reached: connection_error,,False,connection_error
publicpolicy.stanford.edu,Summarize the mission and primary activities of the Stanford Institute for Economic Policy Research (SIEPR).,"[""Navigate to 'stanford.edu' and search for 'SIEPR'.""
 'Click on the main link for the Stanford Institute for Economic Policy Research (SIEPR) from the search results to access its official website.'
 ""Locate and read the 'About' or 'Mission' section of the SIEPR website.""
 'Identify key research areas or primary activities described on the website.'
 'Synthesize this information into a concise summary.']","['Successfully navigates to the official SIEPR website (siepr.stanford.edu).'
 ""Identifies SIEPR's mission of supporting nonpartisan economic policy research.""
 'Mentions at least two primary activities, such as convening leaders, inspiring economic experts, or offering programs/fellowships.']",WEBSITE_DOWN,0.95,Website could not be reached: connection_error,,False,connection_error
aihaaccreditedlabs.org,Find all AIHA-accredited laboratories in California that are accredited under the ELLAP program.,"[""Navigate to 'aihaaccreditedlabs.org'""
 ""Click on the 'AIHA LAP Directory of Accredited Laboratories' link""
 ""On the directory page, apply the 'ELLAP' program filter""
 ""Apply the 'California' location filter""
 'Extract the names of all laboratories listed in the search results.']","['Successfully navigates to the AIHA LAP Directory of Accredited Laboratories.'
 ""Applies the 'ELLAP' program filter correctly.""
 ""Applies the 'California' location filter correctly.""
 'Lists the names of all laboratories displayed in the search results after applying both filters.']",FEASIBLE,0.9,"The website is operational, and a clear link to 'Find an Accredited Lab' is present, along with explicit mention of the 'ELLAP' program. It is highly probable that location filters, including 'California', will be available on the directory page.",200.0,True,
contests.arrl.org,"Find the rules for the 2025 ARRL Rookie Roundup - SSB contest, specifically the start and end times, and the log submission deadline.","['Navigate to the ARRL Rookie Roundup - SSB contest page (contests.arrl.org/rookie/rr-ssb.html)'
 ""Click on the 'Rules' link (id: 29)""
 'Locate the start and end times for the 2025 contest in the rules document'
 'Locate the log submission deadline for the 2025 contest in the rules document'
 'Report the start time, end time, and log submission deadline']","[""Successfully navigates to the 'Rules' page for the Rookie Roundup - SSB contest.""
 'Identifies the correct start time for the 2025 contest (1800Z Apr 13).'
 'Identifies the correct end time for the 2025 contest (2359Z Apr 13).'
 'Identifies the correct log submission deadline for the 2025 contest (2359Z Apr 16).']",CONTENT_LIKELY_OUTDATED,1.0,"The specific URL for the 2025 ARRL Rookie Roundup - SSB contest rules (`https://contests.arrl.org/rookie/rr-ssb.html`) is no longer accessible, and the main contest page primarily displays information for the 2026 contest, indicating that the 2025 contest information is likely outdated or archived.",200.0,True,
glasgowlive.co.uk,"Find the date and title of the most recent article about a cultural event (e.g., music, theatre, art) listed in the 'What's On' section of glasgowlive.co.uk.","[""Navigate to 'glasgowlive.co.uk'""
 'Dismiss any cookie consent banners if present'
 ""Click on the 'What's On' link in the main navigation""
 'Identify the most recent article that clearly describes a cultural event (e.g., a concert, festival, exhibition, or play)'
 'Extract the title and publication date of this article.']","[""Successfully navigates to the 'What's On' section.""
 'Identifies an article that explicitly describes a cultural event (e.g., a music gig, theatre show, art exhibition, or festival) rather than general news or protests.'
 'Provides the exact title of the most recent relevant article.'
 'Provides the exact publication date of the most recent relevant article.']",WEBSITE_DOWN,0.9,HTTP probe returned 403 Forbidden — site is blocking automated access.,403.0,True,
foodstandards.gov.scot,"According to the 'Scottish Food Law Guide - May 2025', what is the purpose of the document and who is it intended to help?","[""Navigate to 'foodstandards.gov.scot'""
 ""Locate and click on the 'Publications and research' link""
 ""Find and click on the 'Scottish Food Law Guide' link""
 ""Download the 'Scottish Food Law Guide - May 2025 PDF'""
 'Open the downloaded PDF and locate the summary section'
 'Extract the purpose of the document and its intended audience from the summary']","['States that the document lists food law applicable in Scotland and is not a substitute for legal advice'
 'Identifies that its purpose is to help environmental health officers, students, businesses, and consumers navigate food law']",CONTENT_LIKELY_OUTDATED,0.8,"The task requires finding a 'Scottish Food Law Guide - May 2025'. Given the current date is April 2026, this specific dated document is likely to be superseded or no longer the most current version, making the content outdated for the task.",200.0,True,
marketscale.com,"Find the name of the host for the 'Experts Talk' series on MarketScale, and identify two industries that are featured in this series.","[""Navigate to 'marketscale.com'""
 ""Click on the 'Publication' link in the navigation menu""
 ""Click on any industry link under 'Publication' to access an 'Experts Talk' page (e.g., 'Industrial IoT')""
 ""Locate the host's name for the 'Experts Talk' series on the page""
 ""Identify at least two industries listed as being featured in the 'Experts Talk' series on that page, and respond with the host's name and the two industries.""]","[""Identifies 'Daniel Litwin' as the host of 'Experts Talk'""
 ""Lists at least two industries featured in the 'Experts Talk' series (e.g., Business Services, Food & Beverage, Hospitality, Industrial IoT, Professional AV, Software & Technology, Sports & Entertainment)""]",CONTENT_LIKELY_OUTDATED,0.9,"The website is operational and lists industries under 'Publication', but the host's name for the 'Experts Talk' series, 'Daniel Litwin', is not found on the main page, suggesting the content has changed or is no longer available as expected by the task.",200.0,True,
seymourduncan.com,What type of magnet is used in the Seymour Duncan Hot Rodded Humbucker Set?,"[""Navigate to 'seymourduncan.com'""
 ""Use the search bar to find 'Hot Rodded Humbucker Set'""
 ""Click on the product listing for the 'Hot Rodded Humbucker Set'""
 ""Locate the 'Magnet' specification on the product page""
 'Respond with the type of magnet used']","[""Successfully navigates to the product page for the 'Hot Rodded Humbucker Set'""
 'Identifies the magnet type in the product specifications'
 ""The answer accurately states the magnet type (e.g., 'Alnico 2' or 'Ceramic')""]",UNCERTAIN,0.9,"The website is operational and appears to have a search bar and product categories. However, without further navigation, it's not possible to confirm if the 'Hot Rodded Humbucker Set' product page exists and contains the magnet specification.",200.0,True,
chateaumarmont.com,Find the general email address for Chateau Marmont.,"['Navigate to Google (if not already there)'
 ""Search for 'Chateau Marmont official website'""
 'Click on the official Chateau Marmont website link in the search results'
 ""Navigate to the 'Contact Us' or 'About Us' section of the website""
 'Locate the general email address for the hotel'
 'Respond with the email address']","['Successfully navigates from Google search results to the official Chateau Marmont website (chateaumarmont.com)'
 ""Locates the 'Contact Us' or equivalent page on the website""
 'Extracts the general contact email address for Chateau Marmont'
 'The provided email address is correct and up-to-date']",UNCERTAIN,0.9,"The website loaded successfully, but the general email address is not immediately visible on the homepage, and further navigation would be required to find a 'Contact Us' or equivalent page.",200.0,True,
queenslandcountrylife.com.au,Find the latest news article related to 'beef' on Queensland Country Life and identify the author and publication time.,"[""Navigate to 'queenslandcountrylife.com.au'""
 ""Click on the 'Beef' category link in the navigation menu""
 ""Identify the most recent news article displayed on the 'Beef' category page""
 ""Extract the author's name and the publication time of that article""]","[""Identifies the correct latest news article under the 'Beef' category""
 ""States the author's name of the identified article""
 ""States the publication time (e.g., 'Xm ago' or full date) of the identified article""]",WEBSITE_DOWN,1.0,"The browsing tool was unable to access the website, indicating it is currently unreachable or has access restrictions that prevent content retrieval.",200.0,True,
serco.com,Find the title of the first search result for 'diversity equity inclusion' on Serco's website.,"['Navigate to serco.com'
 ""Use the search bar to search for 'diversity equity inclusion'""
 'Identify and extract the title of the first search result displayed on the page']","[""Successfully navigates to the search results page for 'diversity equity inclusion'""
 'Accurately identifies the text of the title of the very first search result listed on the page']",WEBSITE_DOWN,0.95,Website could not be reached: connection_error,,False,connection_error
bookofconcord.org,"Find the definition of 'Justification' as presented in The Augsburg Confession, Article IV.","[""Navigate to 'bookofconcord.org'""
 ""Click on 'The Augsburg Confession' from the main menu""
 'Locate Article IV within The Augsburg Confession'
 ""Extract and summarize the definition of 'Justification' from Article IV""]","['Successfully navigates to The Augsburg Confession.'
 'Locates Article IV (Of Justification).'
 ""Provides a summary of the definition of Justification from Article IV, mentioning that 'men cannot be justified before God by their own strength, merits, or works, but are freely justified for Christ’s sake, through faith'.""
 'Does not rely on extensive scrolling through irrelevant documents.']",WEBSITE_DOWN,1.0,"The website 'https://bookofconcord.org' could not be accessed by the browsing tool, preventing any further steps of the task from being completed.",200.0,True,
cbs46.com,"Find out the current weather conditions and the 3-day forecast for Atlanta, Georgia, on the Atlanta News First website.","[""Navigate to 'cbs46.com' (Atlanta News First website)""
 ""Click on the 'First Alert Weather' link in the navigation menu.""
 'Locate the current weather conditions for Atlanta.'
 'Locate the 3-day forecast for Atlanta.'
 'Summarize the current conditions and the 3-day forecast.']","['Successfully navigates to the weather section of the website.'
 'Identifies and states the current temperature and conditions for Atlanta.'
 'Provides a summary of the weather forecast for the next three days, including temperatures and general conditions (e.g., sunny, cloudy, rain).']",WEBSITE_DOWN,1.0,"The website 'https://cbs46.com' could not be accessed by the browsing tool, preventing any further assessment of the task's feasibility.",200.0,True,
ttpm.com,"Find the editor's rating and age recommendation for the 'Little Tikes Bluey Grannies Car Coupe' on TTPM, and state whether a video review is available.","['Navigate to ttpm.com'
 ""Search for 'Little Tikes Bluey Grannies Car Coupe' using the main search bar""
 ""Click on the product listing for 'Little Tikes Bluey Grannies Car Coupe'""
 ""Locate the Editor's Rating on the product page""
 'Locate the Age Recommendation on the product page'
 ""Check if a 'Watch the Review' link or similar video content is present on the page, and respond with the rating, age recommendation, and video availability.""]","[""States the Editor's Rating as '5 stars'""
 ""States the Age Recommendation as '1.5+'""
 'Confirms that a video review is available (or not available) for the product']",UNCERTAIN,1.0,"The starting page loaded successfully, but I am unable to perform a search or navigate to a specific product page to find the required information using the available tools.",200.0,True,
health.mo.gov,Find the official guidance document for Missouri Home-Based Food Production (Cottage Law) and state its title.,"['Navigate to health.mo.gov' ""Click on 'Licensing & Regulations'""
 ""Click on 'Food Safety'""
 ""Locate and click on the 'Missouri Home-Based Food Production Guidance Document' link under 'Cottage Law'""
 'Identify the full title of the document once it opens or is displayed.']","[""Successfully navigates to the 'Food Safety' page.""
 ""Locates and clicks the specific link for 'Missouri Home-Based Food Production Guidance Document'.""
 ""States the full title of the document as 'Missouri Home-Based Food Production Guidance Document'.""]",WEBSITE_DOWN,0.9,HTTP probe returned 403 Forbidden — site is blocking automated access.,403.0,True,
dlang.org,Find out what D is primarily used for and identify at least three companies that use D in their operations.,"[""Navigate to 'dlang.org'""
 ""Locate the section or link related to D's use cases or success stories""
 'Identify the primary applications or domains where D is used'
 'List at least three companies mentioned as using D']","['States that D shines from low-level control to high-level abstraction or similar general purpose description.'
 'Mentions at least three of the following companies: Netflix, eBay, Funkwerk, Symmetry, Auburn, Weka.']",UNCERTAIN,0.9,"The page states that D is a general-purpose programming language that 'shines from low-level control to high-level abstraction' [1], fulfilling the first success criterion. However, the specific company names required by the second success criterion are not present on this page, though links to 'Orgs using D' and 'Success stories' suggest this information may be available through further navigation.",200.0,True,
discountcodes.org.uk,"Does discountcodes.org.uk offer any discount codes for electronics retailers, and if so, list one example?","[""Navigate to 'https://www.discountcodes.org.uk'""
 'Verify if the website is actually a discount code platform or if it redirects to an unrelated site (like flickrembed.com).'
 'If it is a discount code platform, search or browse for electronics retailers.'
 'Identify and list one example of a discount code or deal for an electronics retailer, including the retailer name and the discount details.'
 'If the website is not a discount code platform, report that finding.']","[""Successfully navigates to 'https://www.discountcodes.org.uk'.""
 ""Accurately identifies whether the content on the page is related to discount codes or if it's an unrelated site (like flickrembed.com).""
 ""If it is a discount code site, it must provide a specific example of an electronics discount code (e.g., '10% off at Best Buy' or 'Free shipping on orders over $50 at Currys').""
 'If it is not a discount code site, the agent must explicitly state that the website does not provide discount codes and explain what content is present instead.']",CONTENT_LIKELY_OUTDATED,1.0,"The website 'discountcodes.org.uk' is operational, but its content is entirely about Flickr and embedding photos, not discount codes. The task's premise that this site offers discount codes is no longer valid.",200.0,True,
theduckwebcomics.com,Find the latest update date for the webcomic 'Charby the Vampirate' on The Duck Webcomics.,"[""Navigate to 'theduckwebcomics.com'""
 ""Search for 'Charby the Vampirate' in the search bar or locate it in the 'Top Ten' list.""
 ""Click on the 'Charby the Vampirate' link to go to its comic page.""
 'Locate the information regarding the latest update date for the comic.'
 'Respond with the latest update date.']","[""Successfully navigates to the 'Charby the Vampirate' comic page.""
 ""Identifies and provides the most recent update date displayed on the comic's page.""]",WEBSITE_DOWN,1.0,"The website 'https://theduckwebcomics.com' could not be accessed by the browsing tool, indicating it is currently unreachable.",200.0,True,
