website,instruction,steps,criteria,feasibility_classification,feasibility_confidence,feasibility_reasoning,http_status_code,http_reachable,http_error
msccruises.com,Find the general FAQ section on MSC Cruises to understand common passenger queries.,"[""Navigate to 'msccruises.com'""
 'Scroll to the bottom of the page to locate the footer links'
 ""Under the 'TRAVEL INFO' section, click on the 'FAQ' link""
 'Confirm that the page displays a list of frequently asked questions or categories of questions']","['Successfully navigates to the FAQ page.'
 'The page content clearly presents frequently asked questions or categories of questions relevant to cruise travel.']",FEASIBLE,1.0,"The website is operational, and the 'FAQ' link is present under the 'TRAVEL INFO' section in the footer, as specified in the task instructions.",200,True,
odditymall.com,Find a unique gift idea for someone who enjoys outdoor activities and summarize its key features.,"[""Navigate to 'odditymall.com'""
 ""Click on the 'Categories' link or explore the homepage for relevant sections.""
 'Look for a category or product related to outdoor activities, adventure, or unique gadgets.'
 ""Select a suitable product, such as the 'Underground Beer Cooler' or similar outdoor-themed item.""
 'Extract the key features and description of the selected product.'
 'Summarize the key features of the chosen outdoor gadget.']","['Navigates to a product page relevant to outdoor activities.'
 'Identifies and summarizes at least 2-3 key features of the chosen product (e.g., for the Underground Beer Cooler: keeps drinks chilled, no power needed, holds 24 cans, 3.7 feet deep).'
 'The summarized features accurately reflect the product description on the webpage.']",FEASIBLE,1.0,"The website is operational and the homepage displays several products relevant to outdoor activities, such as 'The Backpack Bed' and 'Camping Crocs', from which key features can be extracted.",200,True,
artfl.atilf.fr,"Find the definition of 'liberté' in the 1762 edition of the Dictionnaire de L'Académie française, and then find its definition in Jean-François Féraud's Dictionaire critique de la langue française (1787-1788). Compare and contrast the definitions.","[""Navigate to 'artfl.atilf.fr'""
 ""Enter 'liberté' into the 'Mot-vedette simple' search field.""
 ""Select '18ème siècle' for the 'Siècle' filter.""
 ""Select 'DAF 4ème édition 1762' for the 'Dictionnaire' filter.""
 'Submit the search form.'
 ""Locate and extract the definition of 'liberté' from the Dictionnaire de L'Académie française, 4th Edition (1762) on the results page.""
 ""Go back to the search page or perform a new search for 'liberté'.""
 ""Select '18ème siècle' for the 'Siècle' filter.""
 ""Select 'Feraud, Dic. Crit. 1787' for the 'Dictionnaire' filter.""
 'Submit the search form.'
 ""Locate and extract the definition of 'liberté' from Jean-François Féraud's Dictionaire critique de la langue française (1787-1788) on the results page.""
 'Summarize the definitions, highlighting any notable similarities or differences.']","[""Successfully retrieves the definition of 'liberté' from the Dictionnaire de L'Académie française, 4th Edition (1762).""
 ""Successfully retrieves the definition of 'liberté' from Jean-François Féraud's Dictionaire critique de la langue française (1787-1788).""
 'The answer accurately compares and contrasts the two definitions, noting any significant differences in nuance, length, or examples provided.']",FEASIBLE,1.0,"The website is operational and explicitly states that it provides access to the Dictionnaire de L'Académie française 4th edition (1762) and Féraud's Dictionaire critique de la langue française (1787-1788), with a simultaneous search function.",200,True,
vrt.be,Find the VRT annual report for the most recent year available and provide its title and year.,"[""Navigate to 'vrt.be'"" ""Click on the 'Documenten' section link""
 ""Locate and click on the 'Jaarverslag' (Annual Report) link""
 'Identify the most recent annual report listed on the page'
 'Extract the title and year of the most recent annual report']","[""Successfully navigates to the 'Documenten' section.""
 ""Successfully opens the 'Jaarverslag' (Annual Report) page.""
 'Identifies the most recent annual report based on its year.'
 'Provides the correct title and year of the most recent annual report.']",FEASIBLE,1.0,"The website is operational, and the 'Documenten' section containing the 'Jaarverslag' link is present on the homepage, indicating the task is completable. [1]",200,True,
votebeat.org,Find an article discussing election misinformation on Votebeat.org and identify one key takeaway or fact mentioned in the article.,"[""Navigate to 'votebeat.org'""
 ""Click on the 'Topics' section or navigate directly to the 'Election Misinformation' topic page.""
 'Select and open a relevant article about election misinformation.'
 'Read the article to identify a key takeaway or specific fact about election misinformation.'
 'Respond with the identified key takeaway or fact.']","[""Successfully navigates to an article from the 'Election Misinformation' topic.""
 'The article opened is clearly about election misinformation.'
 'Extracts and states a specific, accurate key takeaway or fact directly from the content of the chosen article.']",FEASIBLE,1.0,"The website is operational, and 'Election Misinformation' is clearly listed under the 'Topics' section on the homepage, indicating that articles on this subject are available.",200,True,
tracycountryclub.com,Find out what types of events can be hosted at Tracy Golf and Country Club and how to inquire about booking them.,"[""Navigate to 'tracycountryclub.com'""
 ""Click on the 'Events' link or 'Facilities' link that mentions 'Weddings & Banquets' or 'Club Rentals'""
 'Identify the types of events mentioned (e.g., weddings, banquets)'
 'Locate information on how to inquire about booking these events (e.g., contact form, phone number, email)']","['Lists at least two types of events that can be hosted (e.g., weddings, banquets)'
 'Provides a clear method for inquiring about event bookings (e.g., a specific contact person, phone number, or a link to a contact form)']",FEASIBLE,1.0,"The website is operational and the navigation menu clearly lists 'Tournaments Events and Banquets' under 'Events', fulfilling the requirement for event types. A 'Contact Us' link and phone number (209) 835-9463 are prominently displayed for inquiries.",200,True,
gallmeister.fr,"Find out if Elliot Ackerman has any upcoming events listed on the Éditions Gallmeister website. If so, provide the details of the first event.","[""Navigate to 'gallmeister.fr'""
 ""Click on the 'Rencontres' link in the navigation menu""
 'Browse the events listed to find any featuring Elliot Ackerman'
 'If an event is found, extract its date and description']","[""Successfully navigates to the 'Rencontres' section.""
 'Identifies whether Elliot Ackerman is listed in any upcoming events.'
 'If an event is found, provides the date and a brief description of the event.']",FEASIBLE,1.0,"The website is operational, and the 'Rencontres & Événements' section is present in the navigation menu. Based on the browsed content of the starting page, Elliot Ackerman does not have any upcoming events listed.",200,True,
clarkcountytoday.com,Find the most recent opinion piece related to the I-5 Bridge project and identify the author.,"[""Navigate to 'ClarkCountyToday.com'""
 ""Click on the 'Opinion' link in the main navigation bar""
 'Scroll through the opinion articles to find the most recent one discussing the I-5 Bridge project'
 'Identify the author of that opinion piece and state their name.']","[""Successfully navigates to the 'Opinion' section.""
 'Identifies the most recent opinion article specifically discussing the I-5 Bridge project.'
 ""Correctly states the author's name from the identified article.""]",FEASIBLE,1.0,"The website is operational, the 'Opinion' section is easily accessible, and I found a recent opinion piece related to the I-5 Bridge project with an identifiable author ('Engineer Bob') from March 18, 2026.",200,True,
expatica.com,Find out what are the main visa requirements for moving to the Netherlands on Expatica.,"[""Navigate to 'expatica.com'""
 ""Click on the 'Search country' button or directly interact with the 'Choose your country' input field.""
 ""Type 'Netherlands' into the country search input.""
 'Submit the search to navigate to the Netherlands country page.'
 'Locate the section or article related to visas or immigration.'
 'Identify and summarize the main visa requirements for moving to the Netherlands.']","['Successfully navigates to the Netherlands country-specific page on Expatica.'
 'Identifies and accesses information related to visas or immigration for the Netherlands.'
 'Mentions at least two main visa categories or requirements (e.g., highly skilled migrant visa, family reunification, student visa, work permit, specific income requirements, etc.) as detailed on the Expatica website.']",FEASIBLE,1.0,"The website is operational and clearly lists 'Netherlands' as a country option, making the initial navigation step of the task completable. The task instructions align with the current website structure. [1]",200,True,
ihv.org.uk,"As a health visitor, find information on current training opportunities or events offered by the IHV.","[""Navigate to 'ihv.org.uk'""
 ""Click on the 'Training & Events' link (id: 218)""
 'Identify and list at least two current training opportunities or upcoming events mentioned on the page.']","[""Successfully navigates to the 'Training & Events' section.""
 'Identifies and lists at least two distinct training opportunities or events that are current (not archived or past dates).'
 'The information provided is specific enough to identify the type of training/event (e.g., webinar, conference, specific course title).']",FEASIBLE,1.0,"The website is operational, and the 'Training & Events' section is prominently displayed on the homepage, listing multiple current training opportunities and events with specific dates or 'Express Interest Now' options.",200,True,
contrastchecker.com,Check the contrast ratio for a foreground color of '#333333' (dark gray) and a background color of '#E0E0E0' (light gray). Determine if this combination passes WCAG AA for normal text and then save this result to the history.,"['Navigate to contrastchecker.com'
 ""Input '#333333' into the foreground color field""
 ""Input '#E0E0E0' into the background color field""
 'Identify the calculated contrast ratio'
 'Determine if the contrast ratio meets WCAG AA standards for normal text (4.5:1)'
 ""Click the 'Add to History' link to save the result""]","[""The agent correctly inputs '#333333' as the foreground color.""
 ""The agent correctly inputs '#E0E0E0' as the background color.""
 'The agent identifies the calculated contrast ratio (which should be approximately 3.33:1).'
 'The agent correctly states whether the combination passes WCAG AA for normal text (it should fail).'
 ""The agent successfully clicks the 'Add to History' link (id 98).""]",FEASIBLE,1.0,"The website is operational and all the required elements for the task, including color input fields, contrast ratio display, WCAG compliance indicators, and the 'Add to History' link, are present on the page. [1]",200,True,
blog.3dcart.com,"Find an article on the blog that discusses strategies for improving customer conversion rates, and identify one specific strategy mentioned.","['Navigate to blog.3dcart.com'
 ""Locate and click on the 'Conversion Optimization' link under the 'Resources' section""
 ""Browse the articles within the 'Conversion Optimization' category""
 'Select an article that discusses conversion rate strategies'
 'Identify and state one specific strategy mentioned in the article']","[""Successfully navigates to the 'Conversion Optimization' category page.""
 'Identifies and opens an article relevant to improving customer conversion rates.'
 'Accurately extracts and states one specific conversion strategy from the chosen article (e.g., A/B testing, optimizing calls-to-action, improving site speed, clear product descriptions, trust signals).']",FEASIBLE,1.0,"The website is operational and the 'Conversion Optimization' category is present under 'Resources', containing multiple articles relevant to improving customer conversion rates.",200,True,
plantnet.org,"Access the Pl@ntNet web application and identify a plant species by uploading an image of a common North American plant, such as a Red Maple leaf.","[""Navigate to 'plantnet.org'""
 ""Click on the 'Pl@ntNet version Web' link to access the web application.""
 'Locate the image upload functionality within the web application.'
 'Upload an image of a Red Maple leaf (or a similar common North American plant if a specific image cannot be provided by the agent).'
 ""Identify the plant species based on the application's results.""]","['Successfully accesses the Pl@ntNet web application interface.'
 'Demonstrates the ability to upload an image for identification.'
 'Receives and presents an identification result for the uploaded plant image.'
 'The identified plant species is consistent with a common North American plant (e.g., Acer rubrum for Red Maple).']",FEASIBLE,1.0,"The website is operational and the 'Pl@ntNet version Web' link is clearly visible, indicating that the web application for plant identification is still accessible. The site explicitly mentions identifying plants from photos.",200,True,
storms.ngs.noaa.gov,Find the year of the 'Hurricane Ike' imagery available on the NOAA Emergency Response Imagery website.,"[""Navigate to 'storms.ngs.noaa.gov'""
 ""Locate the 'Hurricane Ike' entry on the page.""
 ""Identify the year associated with 'Hurricane Ike' from the displayed list.""
 'Respond with the identified year.']","[""Identifies 'Hurricane Ike' and states the year '2008'""
 ""Does not attempt to click on the 'Hurricane Ike' heading as if it were a link""]",FEASIBLE,1.0,"The website is operational and 'Hurricane Ike (2008)' is clearly listed on the page, fulfilling the task's requirement to identify the year.",200,True,
wikiedu.org,Who are the current supporters of Wiki Education and where can I find their financial statements?,"[""Navigate to 'wikiedu.org'""
 ""Click on the 'About us' dropdown in the main navigation""
 ""Click on the 'Supporters' link to view the list of supporters""
 ""Go back to the 'About us' dropdown and click on the 'Financials' link""
 'Identify where the financial statements are located or if they are directly displayed']","['Lists at least two current supporters of Wiki Education.'
 ""Identifies the section or page where Wiki Education's financial statements are available.""]",FEASIBLE,1.0,"The website is operational, and the 'About us' dropdown in the main navigation clearly lists 'Supporters' and 'Financials' links, indicating that the required information and navigation paths are still present.",200,True,
multitran.ru,Translate the English word 'algorithm' to Russian using Multitran and identify its most common translation.,"[""Navigate to 'http://multitran.ru/'""
 'Locate the English-to-Russian translation interface.'
 ""Input the word 'algorithm' into the source text field.""
 'Initiate the translation.'
 ""Identify the most common or primary Russian translation for 'algorithm' from the results.""]","['Successfully navigates to multitran.ru.'
 ""Inputs 'algorithm' into the correct source language field.""
 ""Identifies 'алгоритм' as the primary Russian translation.""
 ""Provides 'алгоритм' as the answer.""]",FEASIBLE,1.0,"The website multitran.ru is operational and displays a clear English-to-Russian translation interface with an input field, indicating the task is still completable. [1]",200,True,
apwu.org,"What are the eligibility requirements for the APWU Health Plan's High Option plan, and what is its annual deductible for individuals?","[""Navigate to 'apwu.org'"" ""Click on 'For Members'"" ""Click on 'Benefits'""
 ""Click on the link to the 'APWU Health Plan Web site' (www.apwuhp.com)""
 ""Locate information on the High Option plan's eligibility requirements""
 'Find the annual deductible for individuals under the High Option plan'
 'Respond with both the eligibility requirements and the individual annual deductible']","['Successfully navigates to the external APWU Health Plan website (www.apwuhp.com)'
 'Identifies specific eligibility criteria for the High Option plan (e.g., who can enroll, any specific conditions)'
 'States the exact annual individual deductible amount for the High Option plan'
 'The answer must clearly distinguish between the High Option and other plans if mentioned']",FEASIBLE,1.0,"The website is operational, and the 'APWU Health Plan' link, which leads to www.apwuhp.com, is prominently available under 'Member Benefits', indicating the task is completable.",200,True,
nccr-marvel.ch,"For the publication 'Magnetostriction-Driven Muon Localization in an Antiferromagneti...', find its Open Access URL and determine if a dataset is available on Materials Cloud.","[""Navigate to 'nccr-marvel.ch'""
 ""Go to the 'MARVEL Publications' section, then select '2024 (partial)'""
 ""Locate the publication 'Magnetostriction-Driven Muon Localization in an Antiferromagneti...' by P. Bonfà et al.""
 'Identify and provide the Open Access URL for this publication.'
 'Determine if a dataset is available on Materials Cloud for this publication and state the finding.']","['Provides the correct Open Access URL for the specified publication (id: 424).'
 ""Correctly identifies that a dataset is available on Materials Cloud for this publication (indicated by 'Dataset on Materials Cloud.' next to the publication).""
 'Does not attempt to navigate to a non-existent detailed page for the publication, but rather uses the provided direct links.']",FEASIBLE,1.0,"The website is operational, the 'MARVEL Publications' section with '2024 (partial)' is present, and 'Materials Cloud' is prominently featured on the homepage, indicating the required information is likely still accessible.",200,True,
usgs.gov,Find the current alert level and aviation color code for the Great Sitkin volcano.,"[""Navigate to 'https://www.usgs.gov'""
 ""Locate the 'Event Notifications' section on the homepage""
 ""Find the entry for 'Great Sitkin' under the 'Volcano' notifications""
 'Extract the current alert level and aviation color code for Great Sitkin from the displayed information and state them in the answer.']","[""Identifies 'ORANGE - WATCH' as the current alert level and aviation color code for Great Sitkin.""
 'The answer explicitly states both the alert level and aviation color code.']",FEASIBLE,1.0,"The website is operational, and the 'Latest Earthquake and Volcano Notifications' section on the homepage clearly displays the alert level and aviation color code for Great Sitkin volcano as 'ORANGE - WATCH'.",202,True,
lakepowell.com,"What is the mailing address for Lake Powell Resorts & Marinas, and what is the general email address for inquiries?","[""Navigate to 'lakepowell.com'"" 'Accept the cookie policy if prompted'
 ""Locate the 'Contact Us' or 'About Us' section, or a general 'Information' page""
 'Find the full mailing address for Lake Powell Resorts & Marinas'
 'Find a general email address for inquiries'
 'Respond with both the mailing address and the email address']","[""Provides the full mailing address for Lake Powell Resorts & Marinas (e.g., '100 Lakeshore Drive, Page Arizona')""
 'Provides a general inquiry email address if available on the website'
 'If an email address is not explicitly found, the agent should state that it is not available on the website']",FEASIBLE,1.0,"The website is operational and the mailing address 'Lake Powell Resorts & Marinas, 100 Lakeshore Drive, Page Arizona' is clearly visible on the homepage. A general inquiry email address is not explicitly provided on the page.",200,True,
smallnetbuilder.com,"Find the highest-ranked Wi-Fi 6 router on SmallNetBuilder using the Wi-Fi Router Ranker, and state its model name.","[""Navigate to 'https://www.smallnetbuilder.com/'""
 ""Click on the 'Accept' button for the cookie consent if present.""
 ""Click on the 'Wi-Fi Router Ranker' link.""
 'Identify the highest-ranked Wi-Fi 6 router from the displayed list or table.'
 'Extract the model name of the highest-ranked Wi-Fi 6 router.']","['Successfully navigates to the Wi-Fi Router Ranker page.'
 'Identifies and states the model name of the router at the top of the Wi-Fi 6 specific ranking (if a filter exists) or the overall ranking that is identified as Wi-Fi 6 compatible.'
 ""The stated model name is accurate according to the website's ranking.""]",FEASIBLE,1.0,"The website is operational, and the 'Wi-Fi Router Ranker' link is clearly visible on the homepage. There are also multiple articles discussing Wi-Fi 6 routers, suggesting the required information is present.",200,True,
compressnow.com,"Compress a PNG image to 50% compression, and determine if its transparency is maintained after compression.","[""Navigate to 'compressnow.com'""
 'Upload a PNG image (if available in the environment, otherwise note the limitation)'
 'Adjust the compression level to 50% using the slider or input field'
 ""Click the 'COMPRESS' button""
 'Observe the compressed image result to determine if transparency is maintained']","['Successfully navigates to compressnow.com'
 'Attempts to upload a PNG image' 'Sets the compression level to 50%'
 'Initiates the compression process'
 ""States whether PNG transparency is maintained or lost, based on the website's stated limitation or actual observation of the compressed image""]",FEASIBLE,1.0,"The website is operational, supports PNG image uploads, allows compression level adjustment, and explicitly states that PNG transparency is not maintained after compression. All task steps and success criteria can be met.",200,True,
ohmyveggies.com,Find a vegan recipe on Oh My Veggies that includes lentils.,"[""Navigate to 'ohmyveggies.com'"" ""Click on the 'Find Recipes' link""
 ""Utilize the search or filter functionality on the recipe page to find recipes containing 'lentils'""
 'Select a vegan recipe from the search results that features lentils'
 'Confirm the recipe is vegan and includes lentils']","['The agent successfully navigates to a recipe page that is explicitly labeled as vegan.'
 'The selected recipe clearly lists lentils as an ingredient or features them prominently.'
 'The agent provides the name of the recipe as the answer.']",FEASIBLE,1.0,"The website is operational and prominently features a search bar and categories for 'Vegan Recipes'. I also observed a 'Red Lentil Curry' recipe directly on the homepage, indicating that lentil recipes are present and easily discoverable. [1]",200,True,
kerncountyfire.org,"How many fire stations does the Kern County Fire Department operate, and where can I find a list of them?","[""Navigate to 'kerncountyfire.org'"" ""Click on the 'About' dropdown menu""
 ""Click on the 'Fire Stations' link within the 'About' dropdown""
 'Count the number of fire stations listed on the page and state where the list can be found.']","['Identifies the total number of fire stations operated by KCFD.'
 ""States that the list of fire stations is available on the 'Fire Stations' page under the 'About' section.""]",FEASIBLE,1.0,"The website is operational, and the 'Fire Stations' link is clearly visible under the 'About' section, matching the original task instructions for navigation and information retrieval. [1]",200,True,
aib.edu.au,What are the core subjects included in the Master of Business Administration (Finance) program at AIB?,"[""Navigate to 'aib.edu.au'"" ""Click on the 'MBA' link""
 ""Click on the 'MBA (Finance)' specialization link""
 ""Click on the 'Course structure' link to view the subjects""
 'Identify and list the core subjects for the MBA (Finance) program']","['Navigates to the MBA (Finance) specialization page.'
 'Successfully locates and lists the core subjects for the MBA (Finance) program.'
 'The listed subjects accurately reflect the information on the AIB website for this specific specialization.']",FEASIBLE,1.0,The website is operational and the core subjects for the MBA (Finance) program are directly listed on the homepage under the 'AIB MBA specialisations' section. [1],200,True,
usmortgagecalculator.org,"Calculate the total monthly mortgage payment for a home valued at $550,000 with a 15% down payment, an interest rate of 6.5%, a 30-year term, annual property taxes of $6,000, and annual home insurance of $1,500. Assume PMI is 0.5% annually and there are no HOA fees or one-time expenses.","[""Navigate to 'usmortgagecalculator.org'""
 ""Input '550,000' into the 'Home Value' field""
 ""Input '15' into the 'Down Payment' percentage field""
 ""Input '6.5' into the 'Interest Rate' field""
 ""Input '30' into the 'Amortization Period' in years field""
 ""Input '0.5' into the 'PMI / year' percentage field""
 ""Input '6,000' into the 'Property Taxes / year' dollar field""
 ""Input '1,500' into the 'Home Insurance / year' dollar field""
 ""Ensure 'HOA Fees / month' is '0'""
 ""Locate the 'Total Monthly Payment' from the results and provide it as the answer.""]","['The agent correctly inputs all specified values into the calculator.'
 ""The agent correctly identifies the 'Total Monthly Payment' from the displayed results.""
 ""The answer provided matches the calculated 'Total Monthly Payment' on the webpage for the given inputs.""]",FEASIBLE,1.0,"The website is operational and contains all the necessary input fields ('Home Value', 'Down Payment', 'Interest Rate', 'Amortization Period', 'PMI / year', 'Property Taxes / year', 'Home Insurance / year', 'HOA Fees / month') and displays the 'Total Monthly Payment' as required by the task.",200,True,
wikigallery.org,"Find a painting by Claude Oscar Monet that depicts a landscape, and identify its title and the museum where it is located.","[""Navigate to 'wikigallery.org'""
 ""Click on 'Claude Oscar Monet' under the 'By Author' section""
 ""Browse Monet's paintings to find one that depicts a landscape (e.g., 'Impression, Sunrise')""
 'Click on the identified landscape painting to go to its dedicated page'
 'Locate the museum or collection information for the painting on its dedicated page'
 ""Respond with the painting's title and its location""]","[""Identifies a painting by Claude Oscar Monet that is clearly a landscape (e.g., 'Impression, Sunrise', 'Water Lilies')""
 'States the correct title of the chosen landscape painting'
 ""Provides the correct museum or collection where the painting is located (e.g., 'Musée Marmottan Monet, Paris, France' for 'Impression, Sunrise')""]",FEASIBLE,1.0,"The website is operational, and 'Claude Oscar Monet' is listed under the 'By Author' section on the homepage, indicating the initial navigation step is still completable. The site also lists 'By Location' and 'By Subject' (including 'Landscapes'), suggesting the required information is likely present.",200,True,
